[2020-02-04T08:53:47.939] [INFO] http - [::1 GET /img/qr_code.png 404 4ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:47.939] [INFO] http - [::1 GET /img/pay.png 404 3ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:47.944] [INFO] http - [::1 GET /js/jquery.min.js?v=2.1.4 404 2ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:47.949] [INFO] http - [::1 GET /js/bootstrap.min.js?v=3.3.6 404 3ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:47.958] [INFO] http - [::1 GET /js/plugins/layer/layer.min.js 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:47.959] [INFO] http - [::1 GET /js/content.js 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:47.972] [INFO] http - [::1 GET /js/welcome.js 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:48.878] [INFO] http - [::1 GET / 304 6ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:48.934] [INFO] http - [::1 GET /img/a7.jpg 404 1ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:48.938] [INFO] http - [::1 GET /img/a4.jpg 404 2ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:48.970] [INFO] http - [::1 GET /login 304 12ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.141] [INFO] http - [::1 GET /css/bootstrap.min.css?v=3.3.6 404 4ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.144] [INFO] http - [::1 GET /css/font-awesome.css?v=4.4.0 404 2ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.149] [INFO] http - [::1 GET /css/animate.css 404 3ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.152] [INFO] http - [::1 GET /css/style.css?v=4.1.0 404 2ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.153] [INFO] http - [::1 GET /img/qr_code.png 404 2ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
